,id,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
1,10578809,liedekerke,1770,house,house,349000,for sale,3.0,180  m² square meters,Hyper equipped,No,nan,nan,25  m²  square meters,nan,150  m²  square meters,256  m²  square meters,2.0,nan,As new
2,10578941,sint-andries,8200,house,house,625000,for sale,3.0,185  m² square meters,Hyper equipped,No,nan,nan,nan,nan,400  m²  square meters,539  m²  square meters,3.0,No,As new
3,10577515,seraing,4100,house,house,149000,for sale,2.0,105  m² square meters,Semi equipped,No,nan,Yes,nan,nan,25  m²  square meters,105  m²  square meters,2.0,nan,Good
4,10577846,andenne,5300,house,house,335000,for sale,4.0,209  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,2185  m²  square meters,4.0,nan,Good
6,10523130,forest,1190,house,house,545000,for sale,4.0,254  m² square meters,USA installed,nan,nan,nan,45  m²  square meters,nan,nan,260  m²  square meters,2.0,No,To be done up
7,10576930,laeken,1020,house,apartment block,730000,for sale,6.0,300  m² square meters,Hyper equipped,nan,nan,nan,10  m²  square meters,nan,320  m²  square meters,506  m²  square meters,2.0,No,To be done up
8,10579000,nevele%20merendree,9850,house,house,460000,for sale,4.0,165  m² square meters,USA hyper equipped,No,nan,nan,25  m²  square meters,nan,110  m²  square meters,196  m²  square meters,3.0,No,As new
9,10576317,herstal,4040,house,house,164000,for sale,4.0,167  m² square meters,Installed,No,nan,nan,80  m²  square meters,nan,nan,90  m²  square meters,3.0,No,Good
10,10576319,oupeye,4680,house,house,234000,for sale,4.0,173  m² square meters,Installed,No,nan,nan,38  m²  square meters,nan,300  m²  square meters,513  m²  square meters,3.0,No,Good
11,10576147,ronse,9600,house,house,265000,for sale,4.0,168  m² square meters,Installed,No,nan,nan,20  m²  square meters,nan,82  m²  square meters,182  m²  square meters,2.0,No,Just renovated
