houses
City;locality;Type of property;Price;Bed rooms;Living Area;Fully equipped kitchen;Furnished;Terrace;Garden; Surface Area of the plot;Number of facade;Swimming pool;State of the building
brussels;;duplex;530,00 €;2;156 m²;USA hyper equipped;;40  m²  square meters;0;;2;No;As new
molenbeek-saint-jean;Bruxelles 9 Communes;duplex;530,00 €;2;156 m²;USA hyper equipped;;40  m²  square meters;0;;2;No;As new
middelkerke;;flat-studio;192,00 €;;41 m²;Installed;Yes;0;0;;4;;Good
drongen;;duplex;349,00 €;2;118 m²;USA installed;No;9  m²  square meters;0;;3;No;Good
puurs;;mansion;439,00 €;4;282 m²;Installed;;40  m²  square meters;0;497  m²  square meters;2;;To be done up
ninove;Oost-Vlaanderen;mansion;615,00 €;5;450 m²;Installed;No;0;1100  m²  square meters;1260  m²  square meters;4;No;Good
herent;;villa;;5;339 m²;Installed;;13  m²  square meters;580  m²  square meters;794  m²  square meters;4;No;As new
woluwe-saint-pierre;Les Woluwes;flat-studio;245,00 €;;46 m²;Installed;No;6  m²  square meters;0;;2;No;Just renovated
kapelle-op-den-bos;;triplex;335,00 €;2;95 m²;Semi equipped;;32  m²  square meters;0;;2;;Good
nivelles;Nivelles;mansion;an starting;4;207 m²;Installed;No;0;518  m²  square meters;608  m²  square meters;2;;To be done up
li%C3%A8ge;;penthouse;375,00 €;3;214 m²;Not installed;No;0;0;;2;No;To be done up
andenne;Huy et 5kms;villa;440,00 €;3;195 m²;Installed;No;30  m²  square meters;515  m²  square meters;870  m²  square meters;4;;As new
schaerbeek;;flat-studio;175,00 €;;41 m²;Installed;No;0;0;;2;No;Good
herent;;loft;775,00 €;2;258 m²;Hyper equipped;Yes;0;0;;2;;Good
molenbeek-saint-jean;;flat-studio;180,00 €;;43 m²;USA hyper equipped;No;5  m²  square meters;0;;2;No;As new
eeklo;Oost-Vlaanderen;duplex;235,00 €;1;78 m²;Installed;No;0;0;;2;No;Good
rixensart;Brabant Wallon;villa;an starting;6;185 m²;Installed;No;21  m²  square meters;206  m²  square meters;302  m²  square meters;4;No;To be done up
antwerp;;flat-studio;115,00 €;1;16 m²;Semi equipped;;0;0;;2;;As new
baasrode;;penthouse;199,50 €;1;87 m²;Installed;;0;0;;3;;Good
steenokkerzeel;Vlaams-Brabant Noorden;bungalow;425,00 €;3;140 m²;USA installed;No;24  m²  square meters;260  m²  square meters;800  m²  square meters;4;No;To be done up
waterloo;;villa;595,00 €;3;215 m²;Installed;;0;1100  m²  square meters;1284  m²  square meters;4;No;To renovate
kortrijk;;villa;1,275,000 €;5;456 m²;Installed;No;70  m²  square meters;900  m²  square meters;1681  m²  square meters;4;No;As new
overijse;Brabant Flamand;villa;710,00 €;5;260 m²;Semi equipped;No;0;557  m²  square meters;675  m²  square meters;4;No;To be done up
ixelles;;penthouse;650,00 €;2;105 m²;Hyper equipped;No;13  m²  square meters;0;;2;No;As new
hotton;;villa;365,00 €;3;162 m²;Installed;No;30  m²  square meters;1039  m²  square meters;1039  m²  square meters;4;Yes;As new
vilvoorde;;penthouse;565,00 €;3;230 m²;Hyper equipped;;38  m²  square meters;0;;;;Good
vilvoorde;;flat-studio;565,00 €;3;230 m²;Hyper equipped;;38  m²  square meters;0;;;;Good
vilvoorde;;loft;565,00 €;3;230 m²;Hyper equipped;;38  m²  square meters;0;;;;Good
vilvoorde;;duplex;565,00 €;3;230 m²;Hyper equipped;;38  m²  square meters;0;;;;Good
walshoutem;;villa;439,00 €;3;157 m²;Not installed;;32  m²  square meters;0;1796  m²  square meters;4;;Good
bizet;;house;135,00 €;4;190 m²;Installed;No;0;100  m²  square meters;;2;;
ramillies;;house;436,72 €;4;165 m²;USA uninstalled;No;0;0;1003  m²  square meters;4;;
koksijde;;house;750,00 €;5;170 m²;Hyper equipped;Yes;30  m²  square meters;60  m²  square meters;266  m²  square meters;3;;As new
ixelles;Bruxelles (19 communes);apartment-block;575,00 €;5;275 m²;;No;0;0;;2;;To renovate
p%C3%A9ruwelz;;house;175,00 €;3;345 m²;Installed;No;0;0;280  m²  square meters;2;;
hannut;;mixed-use-building;265,00 €;3;131 m²;;No;0;0;128  m²  square meters;2;;Good
neupr%C3%A9;;apartment;335,00 €;2;115 m²;Installed;;0;0;;3;;As new
kortemark;;house;225,00 €;;179 m²;;No;0;0;640  m²  square meters;4;;To renovate
molenbeek-saint-jean;;apartment-block;579,00 €;8;584 m²;Installed;No;0;0;;2;;
berchem;;apartment;649,50 €;3;157 m²;;;9  m²  square meters;0;;;;
nieuwpoort;Ramskapelle;new-real-estate-project-houses;;;;;;0;0;;;;
mortsel;;ground-floor;439,00 €;2;110 m²;Hyper equipped;No;18  m²  square meters;80  m²  square meters;;2;;As new
koningshooikt;;house;349,00 €;3;130 m²;Installed;;0;0;474  m²  square meters;3;;Good
obourg;;house;125,00 €;2;105 m²;Installed;;0;0;200  m²  square meters;2;;To be done up
uccle;;house;1,195,000 €;4;266 m²;USA installed;No;50  m²  square meters;1080  m²  square meters;10  m²  square meters;4;No;To be done up
bruxelles%20%201;;apartment-block;450,00 €;3;126 m²;Installed;No;23  m²  square meters;0;72  m²  square meters;4;;
uccle;;flat-studio;260,00 €;;44 m²;Installed;No;4  m²  square meters;0;;2;;
dendermonde;;apartment;230,00 €;1;68 m²;;No;39  m²  square meters;0;;3;No;Good
mechelen;;duplex;339,00 €;2;95 m²;;No;0;0;;2;No;Good
sint-kruis;;house;429,00 €;3;162 m²;Installed;;0;0;1260  m²  square meters;4;;
sint-kruis;;house;429,00 €;3;162 m²;Installed;;0;0;1260  m²  square meters;4;;
nalinnes;Bois du Cazier;house;340,00 €;4;230 m²;Hyper equipped;No;15  m²  square meters;700  m²  square meters;800  m²  square meters;3;;As new
charleroi;Bois du Cazier;house;340,00 €;4;230 m²;Hyper equipped;No;15  m²  square meters;700  m²  square meters;800  m²  square meters;3;;As new
brakel;;house;219,00 €;3;129 m²;;No;0;0;894  m²  square meters;3;;To restore
nevele;;villa;549,00 €;3;241 m²;;;0;0;827  m²  square meters;4;;To be done up
aalst;;house;269,00 €;4;204 m²;;;0;0;328  m²  square meters;3;;Good
ooigem;;house;499,00 €;6;318 m²;;No;0;0;699  m²  square meters;4;;Good
eghez%C3%A9e;;house;521,99 €;3;210 m²;Not installed;No;0;0;957  m²  square meters;4;;
oudenburg;;duplex;249,00 €;2;92 m²;;;0;0;;;;As new
leuven;;house;445,00 €;2;200 m²;;No;0;0;700  m²  square meters;4;;Good
brussels;;duplex;530,00 €;2;156 m²;USA hyper equipped;;40  m²  square meters;0;;2;No;As new
molenbeek-saint-jean;Bruxelles 9 Communes;duplex;530,00 €;2;156 m²;USA hyper equipped;;40  m²  square meters;0;;2;No;As new
middelkerke;;flat-studio;192,00 €;;41 m²;Installed;Yes;0;0;;4;;Good
