id,Neighbourhood or locality,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
10578183,Oost-Vlaanderen,geraardsbergen%20moerbeke,9500,house group,house group,327000 - 329000,for sale,,,,,,,,,,,,,
10578809,,liedekerke,1770,house,house,349000,for sale,3.0,180  m² square meters,Hyper equipped,No,,,25  m²  square meters,,150  m²  square meters,256  m²  square meters,2.0,,As new
10578941,,sint-andries,8200,house,house,625000,for sale,3.0,185  m² square meters,Hyper equipped,No,,,,,400  m²  square meters,539  m²  square meters,3.0,No,As new
10577515,Grand Liège,seraing,4100,house,house,149000,for sale,2.0,105  m² square meters,Semi equipped,No,,Yes,,,25  m²  square meters,105  m²  square meters,2.0,,Good
10577846,,andenne,5300,house,house,335000,for sale,4.0,209  m² square meters,Installed,,,Yes,,Yes,,2185  m²  square meters,4.0,,Good
10577784,,welle,9473,house group,house group,397000 - 449500,for sale,,,,,,,,,,,,,
10523130,,forest,1190,house,house,545000,for sale,4.0,254  m² square meters,USA installed,,,,45  m²  square meters,,,260  m²  square meters,2.0,No,To be done up
10576930,Bruxelles (19 communes),laeken,1020,house,apartment block,730000,for sale,6.0,300  m² square meters,Hyper equipped,,,,10  m²  square meters,,320  m²  square meters,506  m²  square meters,2.0,No,To be done up
10579000,Oost-Vlaanderen,nevele%20merendree,9850,house,house,460000,for sale,4.0,165  m² square meters,USA hyper equipped,No,,,25  m²  square meters,,110  m²  square meters,196  m²  square meters,3.0,No,As new
10576317,Liège environs,herstal,4040,house,house,164000,for sale,4.0,167  m² square meters,Installed,No,,,80  m²  square meters,,,90  m²  square meters,3.0,No,Good
10576319,Oupeye,oupeye,4680,house,house,234000,for sale,4.0,173  m² square meters,Installed,No,,,38  m²  square meters,,300  m²  square meters,513  m²  square meters,3.0,No,Good
10576147,,ronse,9600,house,house,265000,for sale,4.0,168  m² square meters,Installed,No,,,20  m²  square meters,,82  m²  square meters,182  m²  square meters,2.0,No,Just renovated
10572904,Liège environs,welkenraedt,4841,house,apartment block,235000,for sale,5.0,230  m² square meters,USA installed,No,,,,,339  m²  square meters,432  m²  square meters,3.0,No,Good
10572903,Liège environs,welkenraedt,4841,house,house,235000,for sale,5.0,230  m² square meters,Not installed,No,,,,,339  m²  square meters,432  m²  square meters,3.0,No,Good
10574972,,antwerp,2060,house,house,239000,for sale,5.0,150  m² square meters,Installed,,,,5  m²  square meters,,,56  m²  square meters,2.0,,To be done up
10572509,Vlaamse Ardennen,wortegem-petegem,9790,house,house,274000,for sale,4.0,145  m² square meters,Hyper equipped,No,,,25  m²  square meters,,180  m²  square meters,270  m²  square meters,2.0,No,Good
10572508,Vlaamse Ardennen,ronse,9600,house,villa,419000,for sale,5.0,202  m² square meters,Installed,No,,,20  m²  square meters,,850  m²  square meters,1541  m²  square meters,4.0,No,Good
10574088,,sint-niklaas,9100,house group,house group,479500 - 479500,for sale,,,,,,,,,,,,,
10575171,,bruxelles,1130,house group,house group,521000 - 561000,for sale,,,,,,,,,,,,,
10575189,,machelen,1830,house group,house group,521000 - 561000,for sale,,,,,,,,,,,,,
